Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,LFHD2251TF0,LGHD2369T*,26.9,660.0,21.7,No,No,https://energyguide.electrolux-na.com/,LGHD2369T.
Frigidaire,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,FFHN2750TS0,FGHN2868T*,34.3,642.0,27.6,No,No,https://energyguide.electrolux-na.com/,FGHN2868T.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FFHI2032TP0,FFHT2032T*,24.3,386.0,20.4,No,No,https://energyguide.electrolux-na.com/,FFHT2032T.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,FFHI2032TP0I,FFHT2032T*,24.3,470.0,20.4,No,No,https://energyguide.electrolux-na.com/,FFHT2032T.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,EBRE1835VWi,FFHI1835V*,22.0,453.0,18.3,No,No,https://energyguide.electrolux-na.com/,FFHI1835V.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,EBRE1814VW,FFHT1814V*,22.0,369.0,18.3,No,No,https://energyguide.electrolux-na.com/,FFHT1814V.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,EBRE1814VWi,FFHT1814V*,22.0,453.0,18.3,No,No,https://energyguide.electrolux-na.com/,FFHT1814V.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,FFHT2045VWi,FFHT2045V*,24.0,469.0,20.0,No,No,https://energyguide.electrolux-na.com/,FFHT2045V.
IKEA,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,LFHD2251TF0,20462151*,26.8,660.0,21.7,No,No,https://energyguide.electrolux-na.com/,20462151.
Electrolux,(9I.) Upright freezers with automatic defrost with an automatic icemaker,FPFU19F8WF,EI33AF80W*,33.2,547.0,18.8,No,No,https://energyguide.electrolux-na.com/,EI33AF80W.
Frigidaire,(3A.) All-refrigerators - automatic defrost,FPRU19F8WF,FPRU19F8W*,18.8,301.0,18.8,No,No,https://energyguide.electrolux-na.com/,FPRU19F8W.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,FFHT2021QW0I,FFHT2033V*,24.3,470.0,20.4,No,No,https://energyguide.electrolux-na.com/,FFHT2033V.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FPHT2097VF0,FPHT2097V*,24.1,385.0,20.0,No,No,https://energyguide.electrolux-na.com/,FPHT2097V.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,FPHT2097VF0i,FPHT2097V*,24.1,469.0,20.0,No,No,https://energyguide.electrolux-na.com/,FPHT2097V.
Frigidaire,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,FRSS2333AS0,FRSS2333A*,28.3,615.0,22.3,No,No,https://energyguide.electrolux-na.com/,FRSS2333A.
Frigidaire,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,GRSC2352AF0,GRSC2352A*,28.3,615.0,22.3,No,No,https://energyguide.electrolux-na.com/,GRSC2352A.
Frigidaire,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,COBG2353AF0,GRFG2353A*,28.7,598.0,23.3,No,No,https://energyguide.electrolux-na.com,GRFG2353A.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,COBS2823AS0,FRFS2823A*,34.7,725.0,27.8,No,No,https://energyguide.electrolux-na.com,FRFS2823A.
Frigidaire,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,COBN2853AF0,GRFN2853A*,35.4,652.0,28.6,No,No,https://energyguide.electrolux-na.com,GRFN2853A.
Frigidaire,(9.) Upright freezers with automatic defrost without an automatic icemaker,FFUF2021AW0,FFUF2021A*,35.1,478.0,20.0,No,No,https://energyguide.electrolux-na.com,FFUF2021A.
Frigidaire,(8.) Upright freezers with manual defrost,FFUM2021AW0,FFUM2021A*,36.1,355.0,20.5,No,No,https://energyguide.electrolux-na.com,FFUM2021A.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,COBS2883AF0,PRFS2883A*,34.7,725.0,27.8,No,No,https://energyguide.electrolux-na.com,PRFS2883A.
IKEA,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,COBC2353AF0,20522287,28.0,670.0,22.6,No,No,https://energyguide.electrolux-na.com,20522287
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,COBC2383AF0,PRFC2383A*,28.0,670.0,22.6,No,No,https://energyguide.electrolux-na.com,PRFC2383A.
Electrolux,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,COBC2393AS0,ERFC2393A*,28.0,670.0,22.6,No,No,https://energyguide.electrolux-na.com,ERFC2393A.
Frigidaire,(3A.) All-refrigerators - automatic defrost,FPRU19F7WF0,FPRU19F7W*,18.8,301.0,18.8,No,No,https://energyguide.electrolux-na.com,FPRU19F7W.
Frigidaire,(3A.) All-refrigerators - automatic defrost,FRAE2024AW1,FRAE2024A*,20.0,308.0,20.0,No,No,https://energyguide.electrolux-na.com,FRAE2024A.
Frigidaire,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,FRSS23L3AF0,FRSS23L3A*,28.3,615.0,22.3,No,No,https://energyguide.electrolux-na.com,FRSS23L3A.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-660FDR.E,FFHT1822UB,20.8,360.0,17.6,No,No,https://energyguide.electrolux-na.com/,FFHT1822UB
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-660FDR.E,FFHT1822UW,20.8,360.0,17.6,No,No,https://energyguide.electrolux-na.com/,FFHT1822UW
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-660.E,FFHT1822UB,20.8,360.0,17.6,No,No,https://energyguide.electrolux-na.com/,FFHT1822UB
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-660.E,FFHT1822UV,20.8,360.0,17.6,No,No,https://energyguide.electrolux-na.com/,FFHT1822UV
Frigidaire,(13A.) Compact all-refrigerators - automatic defrost,DL1-11N,FFPA3322U*,3.2,259.0,3.2,No,No,https://energyguide.electrolux-na.com/,FFPA3322U.
Frigidaire,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-11,FFPS3133U*,3.8,320.0,3.1,No,No,https://energyguide.electrolux-na.com/,FFPS3133U.
Frigidaire,(13A.) Compact all-refrigerators - automatic defrost,DL1-112FDR,FFPA3322UM,3.2,259.0,3.2,No,No,https://energyguide.electrolux-na.com/,FFPA3322UM
Frigidaire,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-160FDR,FFPS4533U*,5.4,327.0,4.5,No,No,https://energyguide.electrolux-na.com/,FFPS4533U.
Frigidaire,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-110FDR,FFPS3133UM,3.7,320.0,3.1,No,No,https://energyguide.electrolux-na.com/,FFPS3133UM
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-37,FFET1022U*,12.2,297.0,10.1,No,No,https://energyguide.electrolux-na.com/,FFET1022U.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-44,FFET1222U*,14.0,310.0,11.6,No,No,https://energyguide.electrolux-na.com/,FFET1222U.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,GRMC2273CD,GRMC2273C*,27.9,668.0,21.5,No,No,https://energyguide.electrolux-na.com/,GRMC2273C.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,GRMC2273BF,GRMC2273B*,27.9,668.0,21.5,No,No,https://energyguide.electrolux-na.com/,GRMC2273B.
IKEA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FFHT1425VW,K00462152*,16.9,332.0,13.9,No,No,https://energyguide.electrolux-na.com/,K00462152.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FFHT1425VW,FFHT1425V*,16.9,332.0,13.9,No,No,https://energyguide.electrolux-na.com/,FFHT1425V.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,FG4H2272UF,FG4H2272UF,27.7,667.0,21.4,No,No,https://energyguide.electrolux-na.com/,FG4H2272UF
Frigidaire,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,FRFG1723AV,FRFG1723A*,21.8,543.0,17.6,No,No,https://energyguide.electrolux-na.com/,FRFG1723A.
Electrolux,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,PRMC2285AF,ERMC2295A*,27.7,667.0,21.4,No,No,https://energyguide.electrolux-na.com/,ERMC2295A.
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2912,KF 2902 Vi,23.0,504.0,19.6,No,No,https://www.mieleusa.com/,KF 2902 Vi
Miele,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,HF 861,FNS 37492 iE,13.7,439.0,7.8,No,No,https://www.mieleusa.com/,FNS 37492 iE
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HC 1540,KFN 9855iDE,18.7,433.0,15.5,No,No,https://www.mieleusa.com/,KFN 9855iDE
Miele,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KFN 15943 DE,KFN 15943 DE,19.3,496.0,11.7,No,No,https://www.mieleusa.com/,KFN 15943 DE
Miele,(3A-BI.) Built-in All-refrigerators - automatic defrost,K 2601,K 2601 Vi,13.0,264.0,13.0,No,No,https://www.mieleusa.com/,K 2601 Vi
Miele,(3A-BI.) Built-in All-refrigerators - automatic defrost,K 2601,K 2611 Vi,13.0,264.0,13.0,No,No,https://www.mieleusa.com/,K 2611 Vi
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2981,KF 2981 Vi,22.9,585.0,19.4,No,No,https://www.mieleusa.com/,KF 2981 Vi
Miele,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,F 2471,F 2471 SF,13.5,428.0,7.8,No,No,https://www.mieleusa.com/,F 2471 SF
Miele,(3A-BI.) Built-in All-refrigerators - automatic defrost,K 2601,K 2601 SF,13.0,264.0,13.0,No,No,https://www.mieleusa.com/,K 2601 SF
Miele,(3A-BI.) Built-in All-refrigerators - automatic defrost,K 2901,K 2901 SF,20.6,313.0,20.6,No,No,https://www.mieleusa.com/,K 2901 SF
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2801,KF 2801 Vi,18.8,498.0,16.0,No,No,https://www.mieleusa.com/,KF 2801 Vi
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2801,KF 2811 SF,18.8,498.0,16.0,No,No,https://www.mieleusa.com/,KF 2811 SF
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2911,KF 2911 Vi,23.0,531.0,19.6,No,No,https://www.mieleusa.com/,KF 2911 Vi
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2911,KF 2901 SF,23.0,531.0,19.6,No,No,https://www.mieleusa.com/,KF 2901 SF
Miele,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,KF 2911,KF 2911 SF,23.0,531.0,19.6,No,No,https://www.mieleusa.com/,KF 2911 SF
U-Line,(17.) Compact upright freezers with automatic defrost,FZ124B,UOFZ124-SS01B,8.4,390.0,4.8,No,No,https://www.u-line.com,UOFZ124-SS01B
U-Line,(17.) Compact upright freezers with automatic defrost,FZ124B,UHFZ124-BS01B,8.4,390.0,4.8,No,No,https://www.u-line.com,UHFZ124-BS01B
EdgeStar,(12.) Compact refrigerator-freezers - partial automatic defrost,CRF321SS,CRF321SS,3.8,270.0,3.1,No,No,https://res.cloudinary.com/ldi/raw/upload/v1562029621/EdgeStar/CRF321SS_Energy_Guide.pdf,CRF321SS
Viking,(13A.) Compact all-refrigerators - automatic defrost,VBUI5151GSS,VBUI5151GSS,2.8,209.0,2.8,No,No,By annual report date,VBUI5151GSS
Lynx,(13A.) Compact all-refrigerators - automatic defrost,LN15WINE*,LN15WINE*,2.8,209.0,2.8,No,No,By annual report date,LN15WINE.
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*15-IG*1A,MLWC*15-IG*1A,2.8,209.0,2.8,No,No,By annual report date,MLWC.15-IG.1A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*15-SG*1A,MLWC*15-SG*1A,2.8,209.0,2.8,No,No,By annual report date,MLWC.15-SG.1A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*15-SG01A,MLRE*15-SG01A,2.8,209.0,2.8,No,No,By annual report date,MLRE.15-SG01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLBV*15-SG*1A,MLBV*15-SG*1A,2.8,209.0,2.8,No,No,By annual report date,MLBV.15-SG.1A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-SS21A,MLRE*24-SS21A,5.0,219.0,5.0,No,No,By annual report date,MLRE.24-SS21A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-IS11A,MLRE*24-IS11A,5.0,219.0,5.0,No,No,By annual report date,MLRE.24-IS11A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-SS11A,MLRE*24-SS11A,5.0,219.0,5.0,No,No,By annual report date,MLRE.24-SS11A
Fire Magic,(13A.) Compact all-refrigerators - automatic defrost,3589-DR,3589-DR,5.0,219.0,5.0,No,No,By annual report date,3589-DR
Fire Magic,(13A.) Compact all-refrigerators - automatic defrost,3589-DL,3589-DL,5.0,219.0,5.0,No,No,By annual report date,3589-DL
DCS,(13A.) Compact all-refrigerators - automatic defrost,RF24*E4,RF24*E4,5.0,219.0,5.0,No,No,By annual report date,RF24.E4
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*24-SS01A,MLWC*24-SS01A,5.0,219.0,5.0,No,No,By annual report date,MLWC.24-SS01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLBV*24-SS01A,MLBV*24-SS01A,5.0,219.0,5.0,No,No,By annual report date,MLBV.24-SS01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*24-IS01A,MLWC*24-IS01A,5.0,219.0,5.0,No,No,By annual report date,MLWC.24-IS01A
Viking,(13A.) Compact all-refrigerators - automatic defrost,VRUI5241GSS,VRUI5241GSS,5.0,219.0,5.0,No,No,By annual report date,VRUI5241GSS
Viking,(13A.) Compact all-refrigerators - automatic defrost,VBUI5241GSS,VBUI5241GSS,5.0,219.0,5.0,No,No,By annual report date,VBUI5241GSS
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*24-IG01A,MLWC*24-IG01A,5.0,219.0,5.0,No,No,By annual report date,MLWC.24-IG01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-IG01A,MLRE*24-IG01A,5.0,219.0,5.0,No,No,By annual report date,MLRE.24-IG01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-BG01A,MLRE*24-BG01A,5.0,219.0,5.0,No,No,By annual report date,MLRE.24-BG01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-SG01A,MLRE*24-SG01A,5.0,219.0,5.0,No,No,By annual report date,MLRE.24-SG01A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWC415-SG31A,MPWC415-SG31A,2.6,191.0,2.6,No,No,By annual report date,MPWC415-SG31A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV415-SG31A,MPBV415-SG31A,2.6,209.0,2.6,No,No,By annual report date,MPBV415-SG31A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV415-IG31A,MPBV415-IG31A,2.6,209.0,2.6,No,No,By annual report date,MPBV415-IG31A
DCS,(13A.) Compact all-refrigerators - automatic defrost,RF24DE4,RF24DE4,5.0,199.0,5.0,No,No,By annual report date,RF24DE4
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPDR424-SS71A,MPDR424-SS71A,5.0,199.0,5.0,No,No,By annual report date,MPDR424-SS71A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWC424-IS31A,MPWC424-IS31A,5.4,234.0,5.4,No,No,By annual report date,MPWC424-IS31A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV424-SS31A,MPBV424-SS31A,5.4,234.0,5.4,No,No,By annual report date,MPBV424-SS31A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV424-IS31A,MPBV424-IS31A,5.4,234.0,5.4,No,No,By annual report date,MPBV424-IS31A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWC424-SG31A,MPWC424-SG31A,5.2,249.0,5.2,No,No,By annual report date,MPWC424-SG31A
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV424-SG31A,MPBV424-SG31A,5.4,249.0,5.4,No,No,By annual report date,MPBV424-SG31A
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PD5180TR,T24UR920DS,5.0,274.0,5.0,No,No,http://www.refappl.com/docs/30130A.pdf,T24UR920DS
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PR5180TRG,T24UR920LS,5.1,274.0,5.1,No,No,http://www.refappl.com/docs/30120A.pdf,T24UR920LS
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PR5180TRG,T24UR910LS,5.1,274.0,5.1,No,No,http://www.refappl.com/docs/30120A.pdf,T24UR910LS
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PR5180TRG,T24UR910RS,5.1,274.0,5.1,No,No,http://www.refappl.com/docs/30120A.pdf,T24UR910RS
MICROFRIDGE,(12.) Compact refrigerator-freezers - partial automatic defrost,PR2970,3.0LMF4RH*,3.6,319.0,3.0,No,No,http://www.refappl.com/docs/16100B.pdf,3.0LMF4RH.
MICROFRIDGE,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,PR4880,4.8MF4RW,5.8,346.0,4.8,No,No,http://www.refappl.com/docs/16400B.pdf,4.8MF4RW
MICROFRIDGE,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,PR4880,4.8LMF4R*,5.8,346.0,4.8,No,No,http://www.refappl.com/docs/16400B.pdf,4.8LMF4R.
MICROFRIDGE,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,PR1081,10.3RMF4R,12.1,297.0,10.3,No,No,http://www.refappl.com/docs/24200A.pdf,10.3RMF4R
MICROFRIDGE,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,PR1081,10.3LMF4R,12.1,297.0,10.3,No,No,http://www.refappl.com/docs/24200A.pdf,10.3LMF4R
ABSOCOLD,(13A.) Compact all-refrigerators - automatic defrost,PR1960,ARD204ABS14R/L,2.0,249.0,2.0,No,No,http://www.refappl.com/docs/17500B.pdf,ARD204ABS14R/L
ABSOCOLD,(13A.) Compact all-refrigerators - automatic defrost,PR3650,ARD369A*14R/L,3.6,262.0,3.6,No,No,http://www.refappl.com/docs/17200B.pdf,ARD369A.14R/L
SUMMIT,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,PR1081,FF1119B,12.1,297.0,10.3,No,No,http://www.refappl.com/docs/24100B.pdf,FF1119B
FORNO,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS-507FWEN,FFFFD1933-28RS,24.3,394.0,13.8,No,No,https://fornoappliances.com,FFFFD1933-28RS
Monogram,(3A-BI.) Built-in All-refrigerators - automatic defrost,S36P_3A-BI_R,ZIR361NPR****,21.2,358.0,21.2,No,No,http://appliances.monogram.com/us/comprehensive-product-list,ZIR361NPR....
Monogram,(3A-BI.) Built-in All-refrigerators - automatic defrost,S36B_3A-BI_R,ZIR361NBR****,21.2,358.0,21.2,No,No,http://appliances.monogram.com/us/comprehensive-product-list,ZIR361NBR....
Monogram,(3A-BI.) Built-in All-refrigerators - automatic defrost,S36AR_3A-BI_N,ZIR360NN****,22.0,364.0,22.0,No,No,http://appliances.monogram.com/us/comprehensive-product-list,ZIR360NN....
Monogram,(3A-BI.) Built-in All-refrigerators - automatic defrost,S30_3A-BI_N,ZIR301NPN****,17.6,332.0,17.6,No,No,http://appliances.monogram.com/us/comprehensive-product-list,ZIR301NPN....
Monogram,(3A-BI.) Built-in All-refrigerators - automatic defrost,S24_3A-BI_R1,ZIR241NBR****,13.3,301.0,13.3,No,No,http://appliances.monogram.com/us/comprehensive-product-list,ZIR241NBR....
