Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22Q3BG1AG0,MED5030M**,7.0,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L17QEG1AG1,CED7011L**,7.0,240.0,,Yes,3.73,No,No
Crosley,Vented Gas,L17QEG1AJ1,CGD7011L**,7.0,,22062.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22UBG1AG0,MEDP585G**,7.4,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L22UBG1AJ0,MGDP586K**,7.4,,22318.0,Yes,3.3,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE1001*,DLE1001*,7.3,240.0,,Yes,3.74,No,No
LG,Vented Gas,DLGY1702*,DLGY1702*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX8001*,DLGX8001*,9.0,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX7701*E,DLGX7701*E,9.0,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX6002*,DLGX6002*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX5176*,DLGX5176*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX3571*,DLGX3571*,7.4,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX3471*,DLGX3471*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX2651*,DLGX2651*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLG4902*,DLG4902*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLG4871*,DLG4871*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLG4802*,DLG4802*,7.1,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLG3051*,DLG3051*,7.3,,20000.0,Yes,3.31,No,No
Kenmore,Vented Gas,9198#,9196#,9.0,,20000.0,Yes,3.31,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8198####,8198#,9.0,240.0,,Yes,3.74,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8138##1#,8138#,7.4,240.0,,Yes,3.74,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8128#31#,8128#,7.3,240.0,,Yes,3.74,No,No
Kenmore,Vented Gas,7162#31#,7162#,7.3,,20000.0,Yes,3.31,No,No
