Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1822ERSM,1006792751,18000.0,1580.0,11.8,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1222IVSM,1006876065,12000.0,1020.0,15.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1022IVSM,1006792755,10000.0,970.0,15.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1022ERSM,1006876067,10000.0,820.0,12.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1521ERSM,315545386,15000.0,1260.0,11.8,No,No,http://www.lg.com/global/support/ftclabel
OLMO,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",OW-P08AC115V5SC,OW-P08AC115V5SC,8000.0,750.0,10.6,No,No,http://www.olmo-comfort.com/
OLMO,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",OW-P12AC230V5SC,OW-P12AC230V5SC,12000.0,1140.0,10.5,No,No,http://www.olmo-comfort.com/
OLMO,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",OW-P12HS230V6TW,OW-P12HS230V6TW,12000.0,1260.0,9.5,No,No,http://www.olmo-comfort.com/
OLMO,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",OW-P14AC230V5SC,OW-P14AC230V5SC,14000.0,1500.0,9.3,No,No,http://www.olmo-comfort.com/
OLMO,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",OW-P14HS230V6TW,OW-P14HS230V6TW,14000.0,1500.0,9.3,No,No,http://www.olmo-comfort.com/
MRCOOL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWUC08T115,MWUC08T115,8000.0,690.0,15.0,No,No,https://mrcool.com/wp-content/dox_repo/EnergyGuide/mc_MWUC-08-115_Certs.pdf
